year,avg_temp,ten_y_ma,city
1750,8.72,,Worldwide
1751,7.98,,Worldwide
1752,5.78,,Worldwide
1753,8.39,,Worldwide
1754,8.47,,Worldwide
1755,8.36,,Worldwide
1756,8.85,,Worldwide
1757,9.02,,Worldwide
1758,6.74,,Worldwide
1759,7.99,8.03,Worldwide
1760,7.19,7.877,Worldwide
1761,8.77,7.956,Worldwide
1762,8.61,8.239,Worldwide
1763,7.5,8.15,Worldwide
1764,8.4,8.143,Worldwide
1765,8.25,8.132,Worldwide
1766,8.41,8.088,Worldwide
1767,8.22,8.008,Worldwide
1768,6.78,8.012,Worldwide
1769,7.69,7.982,Worldwide
1770,7.69,8.032,Worldwide
1771,7.85,7.94,Worldwide
1772,8.19,7.898,Worldwide
1773,8.22,7.97,Worldwide
1774,8.77,8.007,Worldwide
1775,9.18,8.1,Worldwide
1776,8.3,8.089,Worldwide
1777,8.26,8.093,Worldwide
1778,8.54,8.269,Worldwide
1779,8.98,8.398,Worldwide
1780,9.43,8.572,Worldwide
1781,8.1,8.597,Worldwide
1782,7.9,8.568,Worldwide
1783,7.68,8.514,Worldwide
1784,7.86,8.423,Worldwide
1785,7.36,8.241,Worldwide
1786,8.26,8.237,Worldwide
1787,8.03,8.214,Worldwide
1788,8.45,8.205,Worldwide
1789,8.33,8.14,Worldwide
1790,7.98,7.995,Worldwide
1791,8.23,8.008,Worldwide
1792,8.09,8.027,Worldwide
1793,8.23,8.082,Worldwide
1794,8.53,8.149,Worldwide
1795,8.35,8.248,Worldwide
1796,8.27,8.249,Worldwide
1797,8.51,8.297,Worldwide
1798,8.67,8.319,Worldwide
1799,8.51,8.337,Worldwide
1800,8.48,8.387,Worldwide
1801,8.59,8.423,Worldwide
1802,8.58,8.472,Worldwide
1803,8.5,8.499,Worldwide
1804,8.84,8.53,Worldwide
1805,8.56,8.551,Worldwide
1806,8.43,8.567,Worldwide
1807,8.28,8.544,Worldwide
1808,7.63,8.44,Worldwide
1809,7.08,8.297,Worldwide
1810,6.92,8.141,Worldwide
1811,6.86,7.968,Worldwide
1812,7.05,7.815,Worldwide
1813,7.74,7.739,Worldwide
1814,7.59,7.614,Worldwide
1815,7.24,7.482,Worldwide
1816,6.94,7.333,Worldwide
1817,6.98,7.203,Worldwide
1818,7.83,7.223,Worldwide
1819,7.37,7.252,Worldwide
1820,7.62,7.322,Worldwide
1821,8.09,7.445,Worldwide
1822,8.19,7.559,Worldwide
1823,7.72,7.557,Worldwide
1824,8.55,7.653,Worldwide
1825,8.39,7.768,Worldwide
1826,8.36,7.91,Worldwide
1827,8.81,8.093,Worldwide
1828,8.17,8.127,Worldwide
1829,7.94,8.184,Worldwide
1830,8.52,8.274,Worldwide
1831,7.64,8.229,Worldwide
1832,7.45,8.155,Worldwide
1833,8.01,8.184,Worldwide
1834,8.15,8.144,Worldwide
1835,7.39,8.044,Worldwide
1836,7.7,7.978,Worldwide
1837,7.38,7.835,Worldwide
1838,7.51,7.769,Worldwide
1839,7.63,7.738,Worldwide
1840,7.8,7.666,Worldwide
1841,7.69,7.671,Worldwide
1842,8.02,7.728,Worldwide
1843,8.17,7.744,Worldwide
